SalePrice,LnSalePrice,Age,GrLivArea,BaseLivArea,Location,Amenities,RoadRail,BedroomAbvGr,Bathrooms,OverallCond,OverallQual,LotFrontage,LotArea,TwoStory_dum,FlatContour_dum,FlatRoof_dum,GarageArea,Garage_dum,CentralAirNum,LowQualFinSF,Fireplaces,KitchenQual_Ex,Zoning_2,Zoning_3,Zoning_4,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010
215000.0,12.2783933071098,50.0,1656.0,639.0,2,0,0,3.0,1.0,5.0,6.0,141.0,31770.0,0,1,0,528.0,1,1,0.0,2.0,0,0,1,0,0,0,0,1
105000.0,11.56171562913966,49.0,896.0,612.0,2,0,0,2.0,1.0,6.0,5.0,80.0,11622.0,0,1,0,730.0,1,1,0.0,0.0,0,1,0,0,0,0,0,1
172000.0,12.05524975579559,52.0,1329.0,923.0,2,0,0,3.0,1.5,6.0,6.0,81.0,14267.0,0,1,0,312.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
244000.0,12.404923504275338,42.0,2110.0,1065.0,2,0,0,3.0,2.5,5.0,7.0,93.0,11160.0,0,1,0,522.0,1,1,0.0,2.0,1,0,1,0,0,0,0,1
189900.0,12.154252896800378,13.0,1629.0,791.0,2,0,0,3.0,2.5,5.0,5.0,74.0,13830.0,1,1,0,482.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
195500.0,12.183315658407558,12.0,1604.0,602.0,2,0,0,3.0,2.5,6.0,6.0,78.0,9978.0,1,1,0,470.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
213500.0,12.271392111650817,9.0,1338.0,616.0,4,0,0,2.0,2.0,5.0,8.0,41.0,4920.0,0,1,0,582.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
191500.0,12.162643087602838,18.0,1280.0,263.0,4,0,0,2.0,2.0,5.0,8.0,43.0,5005.0,0,0,0,506.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
236500.0,12.373703486914124,15.0,1616.0,1180.0,4,0,0,2.0,2.0,5.0,8.0,39.0,5389.0,0,1,0,608.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
189000.0,12.14950229404178,11.0,1804.0,0.0,2,0,0,3.0,2.5,5.0,7.0,60.0,7500.0,1,1,0,442.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
175900.0,12.077670930725649,17.0,1655.0,0.0,2,0,0,3.0,2.5,5.0,6.0,75.0,10000.0,1,1,0,440.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
185000.0,12.128111104060462,18.0,1187.0,935.0,2,0,0,3.0,2.0,7.0,6.0,74.7688,7980.0,0,1,0,420.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
180400.0,12.10293188661066,12.0,1465.0,0.0,2,0,0,3.0,2.5,5.0,6.0,63.0,8402.0,1,1,0,393.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
171500.0,12.052338545588132,20.0,1341.0,637.0,2,0,0,2.0,1.5,5.0,7.0,85.0,10176.0,0,1,0,506.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
212000.0,12.26434155365415,25.0,1502.0,1488.0,4,0,0,1.0,1.5,5.0,8.0,74.7688,6820.0,0,1,0,528.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
164000.0,12.007621706806335,22.0,1752.0,427.0,2,0,0,4.0,2.0,7.0,8.0,152.0,12134.0,1,0,0,492.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
394432.0,12.885202034321916,0.0,1856.0,1445.0,4,0,0,1.0,1.5,2.0,9.0,88.0,11394.0,0,1,0,834.0,1,1,0.0,1.0,1,0,1,0,0,0,0,1
141000.0,11.856515169360305,59.0,864.0,120.0,2,0,0,2.0,1.0,5.0,4.0,140.0,19138.0,0,1,0,400.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
210000.0,12.254862809699606,32.0,2073.0,953.0,3,0,0,3.0,2.0,6.0,6.0,85.0,13175.0,0,1,0,500.0,1,1,0.0,2.0,0,0,1,0,0,0,0,1
190000.0,12.154779351142624,33.0,1844.0,705.0,3,0,0,3.0,2.0,6.0,6.0,105.0,11751.0,0,1,0,546.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
216000.0,12.283033686666302,10.0,1674.0,533.0,4,0,0,3.0,2.5,5.0,7.0,66.8214,7500.0,1,1,0,663.0,1,1,0.0,0.0,0,0,0,1,0,0,0,1
149000.0,11.911701584927597,40.0,1004.0,578.0,2,0,0,2.0,1.0,7.0,6.0,74.7688,11241.0,0,1,0,480.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
149900.0,11.917723684090689,39.0,1078.0,734.0,2,0,0,3.0,1.5,6.0,5.0,74.7688,12537.0,0,1,0,500.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
142000.0,11.863582336583399,42.0,1056.0,775.0,2,0,0,3.0,1.0,6.0,5.0,65.0,8450.0,0,1,0,304.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
126000.0,11.744037185933616,40.0,882.0,882.0,2,0,0,2.0,1.0,5.0,4.0,70.0,8400.0,0,1,0,525.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
115000.0,11.652687407345388,39.0,864.0,432.0,2,0,0,3.0,1.0,5.0,4.0,70.0,10500.0,0,1,0,0.0,0,1,0.0,1.0,0,0,1,0,0,0,0,1
184000.0,12.122691036591123,11.0,1337.0,1051.0,2,0,0,2.0,2.0,5.0,7.0,26.0,5858.0,0,1,0,511.0,1,1,0.0,1.0,0,1,0,0,0,0,0,1
96000.0,11.472103470449973,39.0,987.0,156.0,1,0,0,2.0,1.5,5.0,6.0,21.0,1680.0,1,1,0,264.0,1,1,0.0,0.0,0,0,0,0,0,0,0,1
105500.0,11.566466231898259,39.0,1092.0,300.0,1,0,0,3.0,1.5,5.0,5.0,21.0,1680.0,1,1,0,320.0,1,1,0.0,0.0,0,0,0,0,0,0,0,1
127500.0,11.755871643580617,33.0,1069.0,360.0,2,0,0,2.0,2.0,5.0,6.0,53.0,4043.0,0,1,0,440.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
149900.0,11.917723684090689,35.0,1456.0,514.0,2,0,0,3.0,2.5,6.0,6.0,24.0,2280.0,1,1,0,440.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
120000.0,11.695247021764184,35.0,836.0,0.0,2,0,0,2.0,1.0,6.0,7.0,24.0,2280.0,0,1,0,308.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
146000.0,11.891361900690473,32.0,1456.0,311.0,2,0,0,3.0,2.5,5.0,6.0,24.0,2280.0,1,1,0,440.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
376162.0,12.837775180646194,1.0,2334.0,0.0,4,0,0,3.0,2.5,5.0,9.0,102.0,12858.0,1,1,0,751.0,1,1,0.0,1.0,1,0,1,0,0,0,0,1
306000.0,12.631340380934517,3.0,1704.0,1218.0,4,0,0,3.0,2.0,5.0,8.0,98.0,11478.0,0,1,0,772.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
395192.0,12.88712700173598,1.0,1940.0,1646.0,4,0,0,3.0,2.5,5.0,9.0,83.0,10159.0,0,1,0,606.0,1,1,0.0,1.0,1,0,1,0,0,0,0,1
290941.0,12.58087577645635,1.0,1544.0,0.0,4,0,0,3.0,2.0,5.0,8.0,94.0,12883.0,0,1,0,868.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
220000.0,12.301382825334498,5.0,1541.0,1201.0,4,0,0,3.0,2.0,5.0,7.0,95.0,12182.0,0,1,0,532.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
275000.0,12.524526376648708,5.0,1698.0,110.0,4,1,0,3.0,2.0,5.0,9.0,90.0,11520.0,0,1,0,730.0,1,1,0.0,1.0,1,0,1,0,0,0,0,1
259000.0,12.464583340681674,5.0,1822.0,28.0,4,0,0,3.0,2.0,5.0,8.0,79.0,14122.0,0,1,0,678.0,1,1,0.0,1.0,1,0,1,0,0,0,0,1
214000.0,12.273731294003989,6.0,1535.0,2.0,4,0,0,3.0,2.0,5.0,7.0,70.0,10171.0,0,1,0,532.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
224000.0,12.319401330837177,1.0,1358.0,733.0,4,0,0,2.0,2.0,5.0,7.0,44.0,6371.0,0,1,0,484.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
320000.0,12.676076274775909,8.0,2250.0,578.0,4,0,0,3.0,2.5,5.0,8.0,105.0,13650.0,1,1,0,756.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
319900.0,12.675763725937609,5.0,1752.0,456.0,4,0,0,2.0,2.0,5.0,9.0,61.0,7658.0,0,1,0,576.0,1,1,0.0,1.0,1,0,1,0,0,0,0,1
205000.0,12.230765258120545,4.0,1370.0,24.0,4,0,0,2.0,2.0,5.0,8.0,41.0,7132.0,0,1,0,484.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
175500.0,12.075394321888057,7.0,1626.0,0.0,4,0,0,2.0,2.5,5.0,7.0,36.0,2628.0,1,1,0,474.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
199500.0,12.203569515312056,5.0,1324.0,0.0,2,0,0,3.0,2.0,5.0,6.0,100.0,18494.0,0,1,0,430.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
160000.0,11.982929094215963,4.0,1145.0,16.0,3,0,0,2.0,2.0,5.0,7.0,43.0,3203.0,0,1,0,437.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
192000.0,12.165250651009918,6.0,1269.0,24.0,3,0,0,2.0,2.0,5.0,8.0,43.0,3182.0,0,1,0,430.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
184500.0,12.125404742462718,6.0,1374.0,326.0,2,0,0,3.0,2.5,5.0,7.0,67.0,13300.0,1,1,0,400.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
216500.0,12.285345826424681,8.0,1960.0,625.0,2,0,0,4.0,2.5,5.0,6.0,66.8214,7851.0,1,1,0,440.0,1,1,0.0,2.0,0,0,1,0,0,0,0,1
185088.0,12.128586666638327,6.0,1733.0,0.0,2,0,0,3.0,2.5,5.0,7.0,63.0,8577.0,1,1,0,433.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
180000.0,12.100712129872347,10.0,1430.0,250.0,2,0,0,3.0,2.5,5.0,7.0,74.7688,7750.0,1,1,0,400.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
222500.0,12.312682380588432,9.0,2035.0,0.0,2,0,0,3.0,2.5,5.0,7.0,74.7688,9505.0,1,1,0,434.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
333168.0,12.716402146247475,11.0,2599.0,0.0,4,0,0,4.0,2.5,5.0,9.0,108.0,14774.0,1,1,0,779.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
355000.0,12.779873068457553,12.0,2475.0,0.0,4,0,0,4.0,2.5,5.0,8.0,60.0,17433.0,1,1,0,962.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
260400.0,12.46997418931655,14.0,1720.0,919.0,4,0,0,3.0,2.0,5.0,7.0,59.0,10593.0,0,1,0,527.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
325000.0,12.691580461311874,16.0,2622.0,1032.0,4,0,0,3.0,2.5,5.0,8.0,98.0,12256.0,1,1,0,712.0,1,1,0.0,2.0,0,0,1,0,0,0,0,1
290000.0,12.577636201962656,11.0,2270.0,524.0,4,0,0,4.0,2.5,7.0,8.0,92.0,11764.0,1,1,0,671.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
221000.0,12.30591798049989,12.0,1839.0,0.0,4,0,0,4.0,2.5,5.0,7.0,58.0,16770.0,1,1,0,486.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
221500.0,12.308177868467327,5.0,1595.0,0.0,4,0,0,2.0,2.0,5.0,8.0,73.0,8987.0,0,1,0,880.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
204500.0,12.228323254464993,1.0,1218.0,0.0,4,0,0,2.0,2.0,5.0,7.0,92.0,9215.0,0,1,0,676.0,1,1,0.0,0.0,0,0,0,1,0,0,0,1
215200.0,12.279323107269766,1.0,1547.0,24.0,4,0,0,3.0,2.5,5.0,7.0,72.0,8640.0,1,1,0,614.0,1,1,0.0,0.0,0,0,0,1,0,0,0,1
262500.0,12.478006361013815,2.0,1566.0,1078.0,4,0,0,3.0,2.0,5.0,8.0,75.0,9000.0,0,1,0,750.0,1,1,0.0,0.0,0,0,0,1,0,0,0,1
254900.0,12.448626590364206,6.0,1947.0,222.0,4,0,0,3.0,2.5,5.0,7.0,100.0,12552.0,1,1,0,678.0,1,1,0.0,1.0,0,0,0,1,0,0,0,1
271500.0,12.511717418356127,5.0,1468.0,1414.0,4,0,0,2.0,2.0,5.0,6.0,84.0,10440.0,0,1,0,528.0,1,1,0.0,1.0,0,0,0,1,0,0,0,1
233000.0,12.358793732547838,6.0,2084.0,656.0,1,0,0,4.0,2.5,5.0,7.0,76.0,10142.0,1,1,0,618.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
181000.0,12.106252310247962,6.0,1659.0,0.0,1,0,0,3.0,2.5,5.0,7.0,70.0,11920.0,1,1,0,484.0,1,1,0.0,0.0,0,0,1,0,0,0,0,1
205000.0,12.230765258120545,16.0,2110.0,695.0,1,0,0,3.0,2.5,5.0,7.0,74.7688,8880.0,1,1,0,463.0,1,1,0.0,2.0,0,0,1,0,0,0,0,1
143000.0,11.870599909242044,30.0,923.0,662.0,1,0,0,2.0,2.0,5.0,6.0,50.0,8012.0,0,1,0,264.0,1,1,0.0,1.0,0,0,1,0,0,0,0,1
